Date,Open,High,Low,Close,Adj Close,Volume
2015-05-14,88.779999,89.589996,88.650002,88.739998,78.268562,3228400
2015-05-15,88.500000,88.559998,87.599998,88.430000,77.995163,3205000
2015-05-18,88.389999,88.500000,87.650002,88.290001,77.871689,3074400
2015-05-19,87.889999,87.910004,86.510002,87.239998,76.945587,5676800
2015-05-20,87.629997,88.129997,87.129997,87.930000,77.554153,3841500
2015-05-21,88.230003,89.620003,87.940002,89.330002,78.788948,8155500
2015-05-22,89.180000,89.500000,88.629997,88.629997,78.171555,3483800
2015-05-26,88.129997,88.150002,87.290001,87.839996,77.474785,3149600
2015-05-27,87.989998,88.820000,87.650002,87.919998,77.545349,4517100
2015-05-28,87.330002,87.449997,85.730003,86.010002,75.860710,5899100
2015-05-29,85.739998,86.330002,85.110001,85.320000,75.252136,4677600
2015-06-01,86.059998,86.370003,84.699997,85.529999,75.437355,3976900
2015-06-02,85.209999,86.680000,85.070000,86.169998,76.001839,2808800
2015-06-03,86.599998,87.059998,85.809998,86.230003,76.054771,2841800
2015-06-04,85.500000,86.400002,85.320000,85.470001,75.384430,3775200
2015-06-05,85.010002,86.500000,84.910004,86.050003,75.895996,3937600
2015-06-08,85.800003,86.480003,85.779999,86.150002,75.984192,3304200
2015-06-09,86.459999,87.620003,86.419998,86.730003,76.495743,3984900
2015-06-10,87.449997,88.709999,87.360001,88.480003,78.039261,4717100
2015-06-11,88.620003,88.760002,87.919998,88.169998,77.765839,2872900
2015-06-12,87.949997,88.410004,87.570000,87.849998,77.483589,2212800
2015-06-15,87.139999,87.389999,86.349998,87.129997,76.848564,2721000
2015-06-16,86.790001,87.019997,86.239998,86.589996,76.372276,2895000
2015-06-17,86.889999,87.550003,86.320000,87.250000,76.954391,3402800
2015-06-18,86.830002,87.739998,86.830002,87.440002,77.121986,3372600
2015-06-19,87.269997,87.959999,87.150002,87.519997,77.192551,3910900
2015-06-22,87.970001,88.320000,87.709999,88.269997,77.854027,3648600
2015-06-23,88.419998,88.620003,88.010002,88.449997,78.012794,2539000
2015-06-24,88.790001,88.809998,88.070000,88.169998,77.765839,3413600
2015-06-25,88.220001,88.330002,86.660004,86.720001,76.486938,3239100
2015-06-26,86.500000,86.949997,85.809998,86.820000,76.575134,4387300
2015-06-29,86.220001,86.739998,85.099998,85.300003,75.234489,4747300
2015-06-30,86.089996,86.250000,84.800003,84.820000,74.811134,4077900
2015-07-01,85.389999,85.449997,83.540001,83.949997,74.043800,5296200
2015-07-02,84.529999,84.779999,83.849998,84.379997,74.423058,2582200
2015-07-06,83.650002,84.150002,82.730003,83.150002,73.338203,4896600
2015-07-07,82.989998,84.120003,81.849998,83.989998,74.079079,5192000
2015-07-08,83.050003,83.230003,81.760002,82.269997,72.562042,4325100
2015-07-09,83.430000,83.699997,81.459999,81.690002,72.050476,4570700
2015-07-10,82.639999,82.910004,81.870003,82.150002,72.456207,3495000
2015-07-13,82.870003,84.029999,82.680000,83.639999,73.770355,4228500
2015-07-14,83.529999,84.680000,83.519997,84.459999,74.493629,3797700
2015-07-15,84.550003,84.860001,83.750000,84.160004,74.229027,3661700
2015-07-16,84.750000,84.889999,83.410004,83.760002,74.558372,3686000
2015-07-17,83.550003,83.650002,82.760002,83.160004,74.024292,2931500
2015-07-20,83.059998,83.290001,82.139999,82.250000,73.214264,4291400
2015-07-21,81.800003,82.889999,81.250000,82.220001,73.187561,4691900
2015-07-22,81.000000,81.120003,79.150002,79.760002,70.997810,10180700
2015-07-23,77.699997,79.040001,76.650002,76.879997,68.434196,13909900
2015-07-24,76.910004,77.089996,75.849998,76.099998,67.739883,9175900
